Name,Price,Description,Category,SKU,Tags,Stock_Status
Bulbasaur,£63.00,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.","Pokemon, Seed",4391,"bulbasaur, Overgrow, Seed",45 in stock
Ivysaur,£87.00,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.","Pokemon, Seed",7227,"ivysaur, Overgrow, Seed",142 in stock
Venusaur,£105.00,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,"Pokemon, Seed",7036,"Overgrow, Seed, venusaur",30 in stock
Charmander,£48.00,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","Lizard, Pokemon",9086,"Blaze, charmander, Lizard",206 in stock
Charmeleon,£165.00,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","Flame, Pokemon",6565,"Blaze, charmeleon, Flame",284 in stock
Charizard,£156.00,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","Flame, Pokemon",8840,"Blaze, Charizard, Flame",31 in stock
Squirtle,£130.00,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","Pokemon, Tiny Turtle",6094,"squirtle, Tiny Turtle, Torrent",178 in stock
Wartortle,£123.00,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.","Pokemon, Turtle",9659,"Torrent, Turtle, wartortle",24 in stock
Blastoise,£76.00,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,"Pokemon, Shellfish",5212,"blastoise, Shellfish, Torrent",88 in stock
Caterpie,£73.00,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","Pokemon, Worm",7492,"caterpie, Shield Dust, Worm",40 in stock
Metapod,£148.00,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,"Cocoon, Pokemon",2072,"Cocoon, metapod, Shed Skin",285 in stock
Butterfree,£162.00,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","Butterfly, Pokemon",9507,"Butterfly, butterfree, Compound Eyes",242 in stock
Weedle,£25.00,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"Hairy Bug, Pokemon",7525,"Hairy Bug, Shield Dust, weedle",65 in stock
Kakuna,£148.00,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","Cocoon, Pokemon",1049,"Cocoon, kakuna, Shed Skin",260 in stock
Beedrill,£168.00,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","Poison Bee, Pokemon",6542,"beedrill, Poison Bee, Swarm",125 in stock
Pidgey,£159.00,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","Pokemon, Tiny Bird",9452,"Keen Eye, pidgey, Tiny Bird",175 in stock
Pidgeotto,£84.00,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","Bird, Pokemon",1150,"Bird, Keen Eye, pidgeotto",120 in stock
Pidgeot,£185.00,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","Bird, Pokemon",8462,"Bird, Keen Eye, pidgeot",90 in stock
Rattata,£128.00,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","Mouse, Pokemon",1009,"Mouse, rattata, Run Away",16 in stock
Raticate,£60.00,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","Mouse, Pokemon",5745,"Mouse, raticate, Run Away",204 in stock
Spearow,£133.00,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","Pokemon, Tiny Bird",1591,"Keen Eye, spearow, Tiny Bird",46 in stock
Fearow,£95.00,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,"Beak, Pokemon",9127,"Beak, fearow, Keen Eye",276 in stock
Ekans,£55.00,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,"Pokemon, Snake",5690,"ekans, Shed Skin, Snake",120 in stock
Arbok,£182.00,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","Cobra, Pokemon",9230,"arbok, Cobra, Shed Skin",248 in stock
Pikachu,£37.00,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,"Mouse, Pokemon",1333,"Mouse, pikachu, Static",254 in stock
Raichu,£140.00,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,"Mouse, Pokemon",3488,"Mouse, raichu, Static",215 in stock
Sandshrew,£82.00,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.","Mouse, Pokemon",9134,"Mouse, Sand Veil, sandshrew",100 in stock
Sandslash,£155.00,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.","Mouse, Pokemon",4747,"Mouse, Sand Veil, sandslash",236 in stock
Nidorina,£28.00,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","Poison Pin, Pokemon",9779,"nidorina, Poison Pin, Poison Point",58 in stock
Nidoqueen,£106.00,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,"Drill, Pokemon",6614,"Drill, nidoqueen, Poison Point",153 in stock
Nidorino,£179.00,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","Poison Pin, Pokemon",9646,"nidorino, Poison Pin, Poison Point",279 in stock
Nidoking,£31.00,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","Drill, Pokemon",1159,"Drill, nidoking, Poison Point",178 in stock
Clefairy,£160.00,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.","Fairy, Pokemon",3259,"clefairy, Cute Charm, Fairy",86 in stock
Clefable,£188.00,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.","Fairy, Pokemon",9786,"clefable, Cute Charm, Fairy",23 in stock
Vulpix,£85.00,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.","Fox, Pokemon",1440,"Flash Fire, Fox, vulpix",268 in stock
Ninetales,£52.00,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,"Fox, Pokemon",5173,"Flash Fire, Fox, ninetales",215 in stock
Jigglypuff,£61.00,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.","Balloon, Pokemon",9180,"Balloon, Cute Charm, jigglypuff",136 in stock
Wigglytuff,£130.00,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.","Balloon, Pokemon",2733,"Balloon, Cute Charm, wigglytuff",260 in stock
Zubat,£125.00,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.","Bat, Pokemon",2584,"Bat, Inner Focus, zubat",154 in stock
Golbat,£136.00,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.","Bat, Pokemon",5941,"Bat, golbat, Inner Focus",52 in stock
Oddish,£45.00,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.","Pokemon, Weed",8337,"Chlorophyll, oddish, Weed",296 in stock
Gloom,£178.00,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.","Pokemon, Weed",7374,"Chlorophyll, gloom, Weed",74 in stock
Vileplume,£170.00,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.","Flower, Pokemon",5295,"Chlorophyll, Flower, vileplume",283 in stock
Paras,£168.00,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,"Mushroom, Pokemon",9691,"Effect Spore, Mushroom, paras",192 in stock
Parasect,£27.00,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.","Mushroom, Pokemon",4612,"Effect Spore, Mushroom, parasect",17 in stock
Venonat,£158.00,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","Insect, Pokemon",1329,"Compound Eyes, Insect, venonat",177 in stock
Venomoth,£53.00,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.","Poison Moth, Pokemon",3503,"Poison Moth, Shield Dust, venomoth",22 in stock
Diglett,£122.00,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.","Mole, Pokemon",4383,"diglett, Mole, Sand Veil",227 in stock
Dugtrio,£111.00,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.","Mole, Pokemon",7897,"dugtrio, Mole, Sand Veil",290 in stock
Meowth,£131.00,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.","Pokemon, Scratch Cat",9594,"meowth, Pickup, Scratch Cat",203 in stock
Persian,£200.00,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,"Classy Cat, Pokemon",3752,"Classy Cat, persian, Technician",108 in stock
Psyduck,£182.00,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.","Duck, Pokemon",6470,"Damp, Duck, psyduck",214 in stock
Golduck,£31.00,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.","Duck, Pokemon",8764,"Damp, Duck, golduck",278 in stock
